rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1606295493975047162,,90472,,1606295494,89474725,"""spatial""",,5.20889282227e-05,-1.51995391846e-05,2.64884857178e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494030049868,,90473,,1606295494,143914360,"""spatial""",,5.20741333008e-05,-1.52359649658e-05,2.64704772949e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494071048885,,90474,,1606295494,183568809,"""spatial""",,5.20371459961e-05,-1.54394226074e-05,2.64825134277e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494120828114,,90475,,1606295494,232354682,"""spatial""",,5.19981933594e-05,-1.56519424438e-05,2.64815460205e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494175164311,,90476,,1606295494,288821429,"""spatial""",,5.19426940918e-05,-1.57731307983e-05,2.64376098633e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494224923888,,90477,,1606295494,339559428,"""spatial""",,5.18877197266e-05,-1.59697998047e-05,2.64821228027e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494285886939,,90478,,1606295494,399175575,"""spatial""",,5.17642700195e-05,-1.62162750244e-05,2.66175842285e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494317568191,,90479,,1606295494,431695124,"""spatial""",,5.16813598633e-05,-1.64216690063e-05,2.67177734375e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494380760347,,90480,,1606295494,489256747,"""spatial""",,5.15870727539e-05,-1.66818511963e-05,2.69054016113e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494429373346,,90481,,1606295494,543203170,"""spatial""",,5.15136047363e-05,-1.69377319336e-05,2.69655853271e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494486848460,,90482,,1606295494,599057393,"""spatial""",,5.14603515625e-05,-1.73502304077e-05,2.70184234619e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494516740342,,90483,,1606295494,631698841,"""spatial""",,5.1379284668e-05,-1.77972625732e-05,2.70373718262e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494575123140,,90484,,1606295494,684069852,"""spatial""",,5.12884094238e-05,-1.84737442017e-05,2.69606414795e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494627695785,,90485,,1606295494,738847525,"""spatial""",,5.10520111084e-05,-1.93107086182e-05,2.70799804687e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494687728056,,90486,,1606295494,794396623,"""spatial""",,5.06995422363e-05,-2.02976257324e-05,2.74163360596e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494716639157,,90487,,1606295494,831086309,"""spatial""",,5.03216522217e-05,-2.13189727783e-05,2.77017272949e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494766599956,,90488,,1606295494,880039807,"""spatial""",,4.99443572998e-05,-2.23540405273e-05,2.78561096191e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494820722087,,90489,,1606295494,934010155,"""spatial""",,4.94756744385e-05,-2.33421676636e-05,2.80760559082e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494890747083,,90490,,1606295494,998400315,"""spatial""",,4.90034667969e-05,-2.43788223267e-05,2.8338571167e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494916719196,,90491,,1606295495,31212639,"""spatial""",,4.83534423828e-05,-2.55909835815e-05,2.86314605713e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295494965599089,,90492,,1606295495,80351312,"""spatial""",,4.76682159424e-05,-2.68647186279e-05,2.8761529541e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495019780954,,90493,,1606295495,134101860,"""spatial""",,4.70885742187e-05,-2.80171783447e-05,2.8728616333e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495082208169,,90494,,1606295495,193555920,"""spatial""",,4.65609832764e-05,-2.91458435059e-05,2.86188079834e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495115691693,,90495,,1606295495,230171144,"""spatial""",,4.60700592041e-05,-3.00892883301e-05,2.85757385254e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495188549901,,90496,,1606295495,298900078,"""spatial""",,4.54920013428e-05,-3.10087738037e-05,2.85751220703e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495217423419,,90497,,1606295495,331459190,"""spatial""",,4.48998962402e-05,-3.1733215332e-05,2.86709960937e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495276802526,,90498,,1606295495,389043250,"""spatial""",,4.44838134766e-05,-3.23693969727e-05,2.87592529297e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495323930468,,90499,,1606295495,438306436,"""spatial""",,4.40822540283e-05,-3.28114929199e-05,2.87295532227e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495384978072,,90500,,1606295495,498834733,"""spatial""",,4.38279785156e-05,-3.31467895508e-05,2.88394805908e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495426074115,,90501,,1606295495,533530270,"""spatial""",,4.37281707764e-05,-3.32628356934e-05,2.880597229e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495475753275,,90502,,1606295495,589312155,"""spatial""",,4.35342681885e-05,-3.34617645264e-05,2.89406005859e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495535863264,,90503,,1606295495,638506565,"""spatial""",,4.33859893799e-05,-3.33569519043e-05,2.91766998291e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495580020837,,90504,,1606295495,694150138,"""spatial""",,4.32550750732e-05,-3.32740020752e-05,2.93770599365e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495620360184,,90505,,1606295495,730759237,"""spatial""",,4.31337585449e-05,-3.31975097656e-05,2.96109558105e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495675240384,,90506,,1606295495,788488147,"""spatial""",,4.30157897949e-05,-3.32534545898e-05,2.98982025146e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295495720807711,,90507,,1606295495,833638896,"""spatial""",,4.29692687988e-05,-3.31247680664e-05,3.00332214355e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
